PartitionKey,RowKey,Category,Category@type,Color,Color@type,IsActive,IsActive@type,Order,Order@type,Prefix,Prefix@type,StagesJson,StagesJson@type
"dpactasdev.sharepoint.com,0e15835a-999d-45f1-9bfd-95c154166af0,c4d44a94-f25e-478d-9d4f-530a7d9320ec",Appointment Brief (APPB),Brief,String,aquamarine,String,TRUE,Boolean,104,Int32,APPB,String,"[{""Name"":""Initiate"",""Order"":1},{""Name"":""Prepare and review"",""Order"":2},{""Name"":""Recommend"",""Order"":3},{""Name"":""Make decision: Allocate roles"",""Order"":4},{""Name"":""Make decision: Prepare and review"",""Order"":5},{""Name"":""Make decision: Recommend"",""Order"":6},{""Name"":""Make decision: Make decision"",""Order"":7},{""Name"":""Make decision: Manage signatures"",""Order"":8},{""Name"":""Implement and close"",""Order"":9},{""Name"":""Closed"",""Order"":10}]",String
"dpactasdev.sharepoint.com,0e15835a-999d-45f1-9bfd-95c154166af0,c4d44a94-f25e-478d-9d4f-530a7d9320ec",Cabinet Minute (CABM),Minute,String,blue,String,TRUE,Boolean,102,Int32,CABM,String,"[{""Name"":""Initiate"",""Order"":1},{""Name"":""Prepare and review"",""Order"":2},{""Name"":""Recommend"",""Order"":3},{""Name"":""Make decision: Allocate roles"",""Order"":4},{""Name"":""Make decision: Prepare and review"",""Order"":5},{""Name"":""Make decision: Recommend"",""Order"":6},{""Name"":""Make decision: Make decision"",""Order"":7},{""Name"":""Make decision: Manage signatures"",""Order"":8},{""Name"":""Implement and close"",""Order"":9},{""Name"":""Closed"",""Order"":10}]",String
"dpactasdev.sharepoint.com,0e15835a-999d-45f1-9bfd-95c154166af0,c4d44a94-f25e-478d-9d4f-530a7d9320ec",Custom Content Type (CCT),Custom,String,green,String,TRUE,Boolean,107,Int32,CCT,String,"[{""Name"":""Initiate"",""Order"":1},{""Name"":""Prepare and review"",""Order"":2},{""Name"":""Recommend"",""Order"":3},{""Name"":""Make decision: Allocate roles"",""Order"":4},{""Name"":""Make decision: Prepare and review"",""Order"":5},{""Name"":""Make decision: Recommend"",""Order"":6},{""Name"":""Make decision: Make decision"",""Order"":7},{""Name"":""Make decision: Manage signatures"",""Order"":8},{""Name"":""Implement and close"",""Order"":9},{""Name"":""Closed"",""Order"":10}]",String
"dpactasdev.sharepoint.com,0e15835a-999d-45f1-9bfd-95c154166af0,c4d44a94-f25e-478d-9d4f-530a7d9320ec",Information Briefing (INFB),Brief,String,blue,String,TRUE,Boolean,101,Int32,INFB,String,"[{""Name"":""Initiate"",""Order"":1},{""Name"":""Prepare and review"",""Order"":2},{""Name"":""Recommend"",""Order"":3},{""Name"":""Make decision: Allocate roles"",""Order"":4},{""Name"":""Make decision: Prepare and review"",""Order"":5},{""Name"":""Make decision: Recommend"",""Order"":6},{""Name"":""Make decision: Make decision"",""Order"":7},{""Name"":""Make decision: Manage signatures"",""Order"":8},{""Name"":""Implement and close"",""Order"":9},{""Name"":""Closed"",""Order"":10}]",String
